Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.05     0.00      148     0.00     0.00  thLockMutex
  0.00      1.05     0.00      148     0.00     0.00  thUnlockMutex
  0.00      1.05     0.00      145     0.00     0.00  BGBDY_New
  0.00      1.05     0.00      145     0.00     0.00  BGBGC_Alloc
  0.00      1.05     0.00      145     0.00     0.00  BGBGC_CollectPause
  0.00      1.05     0.00      145     0.00     0.00  BGBGC_TryMarkSafe
  0.00      1.05     0.00      144     0.00     0.00  BGBGC_AllocChk
  0.00      1.05     0.00      138     0.00     0.00  BGBCP_GetStruct
  0.00      1.05     0.00      138     0.00     0.00  BGBCP_LookupStruct
  0.00      1.05     0.00      136     0.00     0.00  BASM_OutOpMemImm
  0.00      1.05     0.00      136     0.00     0.00  BASM_OutOpStrMemImm
  0.00      1.05     0.00      131     0.00     0.01  BGBCP_Block
  0.00      1.05     0.00      130     0.00     0.00  BASM_OutOpImm
  0.00      1.05     0.00      130     0.00     0.00  BASM_OutOpStrImm
  0.00      1.05     0.00      130     0.00     0.00  gctalloc
  0.00      1.05     0.00      128     0.00     0.00  basm_coff_set32
  0.00      1.05     0.00      127     0.00     0.00  BGBGC_GetChunk
  0.00      1.05     0.00      126     0.00     0.00  BGBGC_Free
  0.00      1.05     0.00      126     0.00     0.00  BGBGC_FreeChk
  0.00      1.05     0.00      126     0.00     0.00  gcfree
  0.00      1.05     0.00      126     0.00     0.00  vf_destroy
  0.00      1.05     0.00      126     0.00     0.03  vf_new
  0.00      1.05     0.00      126     0.00     0.00  vfclose
  0.00      1.05     0.00      126     0.00     0.00  vfdir_vfclose
  0.00      1.05     0.00      125     0.00     0.00  BCCX_New2
  0.00      1.05     0.00      122     0.00     0.00  SXIL_TypeFloat80P
  0.00      1.05     0.00      117     0.00     0.00  sxil_ralloc
  0.00      1.05     0.00      116     0.00     0.00  vfdir_vfread
  0.00      1.05     0.00      116     0.00     0.00  vfdir_vftell
  0.00      1.05     0.00      116     0.00     0.00  vfread
  0.00      1.05     0.00      116     0.00     0.00  vftell
  0.00      1.05     0.00      115     0.00     0.00  BGBCP_SetLinenum
  0.00      1.05     0.00      115     0.00     0.00  pdgl_ftell_f
  0.00      1.05     0.00      114     0.00     0.00  SXIL_TypeSmallIntP
  0.00      1.05     0.00      114     0.00     0.00  sxil_rstrdup
  0.00      1.05     0.00      113     0.00     0.00  BGBCP_PopLinenum
  0.00      1.05     0.00      113     0.00     0.00  BGBCP_PushLinenum
  0.00      1.05     0.00      113     0.00     0.65  BGBPP_Buffer
  0.00      1.05     0.00      111     0.00     0.13  BGBPP_Include
  0.00      1.05     0.00      108     0.00     0.00  SXIL_RegName
  0.00      1.05     0.00      107     0.00     0.00  SXIL_EncodeOpcode
  0.00      1.05     0.00      100     0.00     0.00  SXIL_LookupOpcode
  0.00      1.05     0.00      100     0.00     0.00  SXIL_TypeSmallLongP
  0.00      1.05     0.00       94     0.00     0.00  SXIL_StackIdx
  0.00      1.05     0.00       93     0.00     0.01  SXIL_ParseCommand
  0.00      1.05     0.00       92     0.00     0.00  BASM_OutOpGeneric3
  0.00      1.05     0.00       92     0.00     0.00  BASM_OutOpRegRegImm
  0.00      1.05     0.00       92     0.00     0.00  BASM_OutOpStrRegRegImm
  0.00      1.05     0.00       92     0.00     0.00  SXIL_PopXFTmpT
  0.00      1.05     0.00       88     0.00     0.00  SXIL_PushXRegT
  0.00      1.05     0.00       85     0.00     0.00  BASM_LinkReference
  0.00      1.05     0.00       82     0.00     0.00  SXIL_DecVLI
  0.00      1.05     0.00       81     0.00     0.00  SXIL_ParseStruct
  0.00      1.05     0.00       80     0.00     0.00  SXIL_CheckRegVar
  0.00      1.05     0.00       78     0.00     0.04  BASM_AddSymRef
  0.00      1.05     0.00       78     0.00     0.04  BGBCC_CompileStruct
  0.00      1.05     0.00       78     0.00     0.00  SXIL_SizeStruct
  0.00      1.05     0.00       76     0.00     0.00  SXIL_GenRefStr
  0.00      1.05     0.00       76     0.00     0.00  SXIL_GenRefStrDisp
  0.00      1.05     0.00       75     0.00     0.04  BASM_AssignSym
  0.00      1.05     0.00       74     0.00     0.00  SXIL_FlushST
  0.00      1.05     0.00       74     0.00     0.00  SXIL_SyncESP
  0.00      1.05     0.00       74     0.00     0.00  SXIL_SyncStack
  0.00      1.05     0.00       74     0.00     0.00  SXIL_SyncStack2
  0.00      1.05     0.00       70     0.00     0.00  BGBCP_BinaryExpr
  0.00      1.05     0.00       70     0.00     0.00  SXIL_LookupStruct
  0.00      1.05     0.00       70     0.00     0.00  SXIL_PopSymStr
  0.00      1.05     0.00       70     0.00     0.00  SXIL_PushSymInt
  0.00      1.05     0.00       68     0.00     0.00  BGBCC_BoolExpr
  0.00      1.05     0.00       68     0.00     0.00  SXIL_AllocXReg
  0.00      1.05     0.00       64     0.00     0.00  BASM_OutOpMem
  0.00      1.05     0.00       64     0.00     0.00  BASM_OutOpStrMem
  0.00      1.05     0.00       58     0.00     0.00  SXIL_TypeFVecP
  0.00      1.05     0.00       56     0.00     0.00  SXIL_TypeHFloatP
  0.00      1.05     0.00       56     0.00     0.00  basm_coff_set16
  0.00      1.05     0.00       52     0.00     0.01  BGBCC_EmitTopVar
  0.00      1.05     0.00       50     0.00     0.00  SXIL_ParseOpArgs
  0.00      1.05     0.00       49     0.00     0.02  BGBCC_CompileBlock
  0.00      1.05     0.00       49     0.00     0.00  BGBCP_BlockStatement2
  0.00      1.05     0.00       49     0.00     0.00  BGBCP_ParseStatementName
  0.00      1.05     0.00       49     0.00     0.00  BGBCP_Statement
